Bbox_Model;Bbox_Firmware_Version;Connexion_Type;OS_Version;PowerShell_Version;Chrome_Version;ChromeDriver_Version
Fast5330b-r1;20.8.8;FTTH;Windows10Pro;7.2.6.1;106.0.5249.62;106.0.5249.21
Fast5330b-r1;20.8.8;FTTH;Windows10Pro;7.2.6.0;105.0.5195.127;71.0.3578.33
Fast5330b-r1;20.8.8;FTTH;Windows10Pro;5.1.19041.1682;103.0.5060.134;71.0.3578.33
Fast5330b-r1;20.6.8;FTTH;Windows10Pro;5.1.19041.1320;97.0.4692.71;N/C
Fast5330b-r1;20.2.34;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;19.2.12;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;18.5.4;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;18.2.12;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;17.13.8;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;17.13.4;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;17.13.4;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
Fast5330b-r1;17.10.10;FTTH;Windows10Pro;5.1.18362.1171;97.0.4692.71;N/C
